Equity issue,day of week,description (from line),Column 4,Column 5
1895-06-13,Wednesday,  Le present *011*1 he nScond Wednesday of every mouth.,,
1895-06-13, Tuesday,  Tuesday the 18th inat. promises to be a gala day at Campbell's Bay weather permitting. The committee in charge of day a amusementsare sparing no pains to make the pic nic a grand success.,,
1895-06-13, Saturday,  St. Paul's Friday June 14th. S. 8. Tot chers 7 p. m. Evening Prayer and Choir Practice. 7.30. Saturday Confirmation Class 2 p.m.,,
1895-06-13,Sunday,  Sunday June 10. Bible Class and S School 9 a. m. Holy Communion with sermon in commemoration of the consecration of the churchJune 11th 1880. Evening Prayer <> 30 p. m.,,
1895-06-13,Sunday,  The 15th anniversary of the consecration of St. Paul's Church was kept Tuesday (11th) with a short service at 10 a.m. The special commemoration service will be held next Sunday morning.,,
1895-06-13, Tuesday,  The 15th anniversary of the consecration of St. Paul's Church was kept Tuesday (11th) with a short service at 10 a.m. The special commemoration service will be held next Sunday morning.,,
1895-06-13,3rd day,  At a general sesssion cf the municipal council of tbo municipality of the village of Shawville held on Monday the 3rd day of June 1895 in conformity with the provisions of the municipal code of the Province of Quebec at which session were present Mr. Mayor Hugh Hobbs and councillors John H. Armstrong Robt. McCredie Donald McRae and James Prendergast forming a quorum _ of the council under the presidency of the mayor it is ordained and resolved by by law of the council as follows That a tax at the rate of $ of a cent on the dollar be levied on the full amount of the Valuation Rdl for road labor purposes for the year 1895.,,
1895-06-13, Thursday,  Bears Captured.-On Thursday May 30th Mr. A. Somerville and four of the Houston boys of Lower Litcbfields sue,,
1895-06-13, Saturday,  several instance# two revising officers had from habit from Sunday to Saturday ; from,,
1895-06-13,Sunday,  several instance# two revising officers had from habit from Sunday to Saturday ; from,,
1895-06-13, Thursday,  A despatch from London mays The State ball at Buckingham palace on Thursday last was the most brilliant affair of the kind in years past. The great majority of the gentlemen wore showy uniforms their breasts covered with glittering orders while the ladies in their charming dresses and jewels formed a pretty contrast to the picturesque Afghansof the suite of Nazrulla Khan whose gorgeous Eastern robes sided additional lustre to the scene. There wae a wonderful display of gold-plate in the supper-room. Many of the richest and,,
1895-06-13, Tuesday,  The United Empire Loyalists of Can .ida at a meeting held at Montreal Iasi Tuesday adopted a resolutionstrongly dis approving of the erection by the A inert san Society of Colonial Wars of a monument at Louisburg commemorating tin jspturc of that place in 1745. It was also decided to call the attention of the D m uton Government to the matter.,,
1895-06-13,the day,  R. P. J railway will Issue single fare tickets for the day.,,
1895-06-13, Monday,  $19547.	 I was murdered j>n Monday in the basement,,
1895-06-13,Sunday,  on Sunday while bathing in the Uun	| tbouiAD(j dollars reward for the arrest of,,
1895-06-13, Saturday,  from a Toronto firm. The order was mla- Saturday by an explosion at Major de understood and twelve barrels of nutmegs	gunpowder factory ut Felixdorf,,
1895-06-13,Sunday,  A Scotch Mormon with hie three wives become very much worse arrived in Quebec on Sunday night. The ^	pMteur the distinguished,,
1895-06-13, Saturday,  Saturday in the Fife- kined eed fourteen mortally wounded.,,
1895-06-13,Dominion day,  other oethartic.	I Dominion day.,,
1895-06-13, yesterday,  of American and Canadian horses sold here yesterday. They were much,,
1895-06-13,Wednesday,   T. W. Horn who it is generally con ceded was responsible for the failure of the jury to agree at the last trial and who as solicitor for the prisoners    as mainly instrumental in woiking up the defence will sail via steamer Germanic Wednesday for Heidelberg Germany to enquire into the life of the twins while attending college there. Mr. Horn has been retained to watch the interests of the accused until the conclusion of the eeoond trial. The twins it will be re membered spent four years at college m Heidelbt rg prior to opening an office in New York from which city they fled to Canada forfeiting their bail. ,,
1895-06-20, Thursday,  la issued from the office of Publication at Shaw ville every Thursday.,,
1895-06-20, Monday,  Correspondence of local Interest solicited	Montreal on Monday night fora two,,
1895-06-20, Thursday,  17wm be atd8hawvlllenr.t Thursday of each	of Westmeath have dissolved partnership.	Samples of work on exhibition.	while the man wae in the act of putting,,
1895-06-20, Monday,  Loup on Monday morning where she in- PCNio at Thorne Wbst.-A picnic ^he new firm will be etyled Stafford and,,
1895-06-20, Thursday,  deuce. In the Ottawa branch as many as	Thursday last. Although the day was,,
1895-06-20,Wednesday,  Some weeks the Advance .trained hold their exhibition a week earlier this One of the young probatoners at the its wind guage somewhat in describing year than on former occasions that la m- Methodist conference last week at ni di a some	specimens of hen fruit which had	stead of being held on the 1st Wednesday	Fall s asked and obtained leave to marry,,
1895-06-20, Monday,  not in it at all with a couple left at event a greater success if possible than A young man named Soguin son of tho our office on Monday by Mr. John Stow- the exhibitions of former years.	sexton of the Catholic church at Papin-,,
1895-06-20,Wednesday,  1 her office'in Hull ended on Wednesday	hen. The larger of the two measures	pUted he woM ^ to the extreme of fol-	which money is gathered for	the relief o,,
1895-06-20, Saturday,  TAUGHT FROM	principal business places of the village.	and on Saturday morning left the vkm*	^ mn4 Mie Katie Hughea acted as	c^adan home with him on the present,,
1895-06-20, Monday,   loan. Huy also deny that the loan is a Burglars on Monday night entered the sntl ca8Uttlles ln he L nlled Kln8d<>m re- SULTAN n Ukves FRANCK and Russia will amazes any foreigner in China is the preferred one upon the Customs revenue. vault of the State Treaeuiy in Concord N. ported to the British Board of Trade has,,
1895-06-20, Saturday,  On Saturday at Ridgetown. Ontario H- end stole .lx thousand dollars. The j just been issued. Last year 22 per. on. WK  K K .. . k a pUcency with which even well-informed,,
1895-06-20, Saturday,  on Saturday. The estimated increase	in	the f**altih8e 0D 7oman vould corrupt her	72 times. Then there were 38 occasions RVS9AI< A9TVTKN1S9 N THe 1A9T.	their fellow soldiers who were armed with,,
1895-06-20, Tuesday,  Maharajah Abubakar Saltan of Johore who recently arrived in London on a visit died on Tuesday evening.,,
1895-06-20,Sunday,  now running without change via the popular West shore route. It is a buffet car and refreshments can be obtained en route if desired. This car leaves Union Station Toronto every day except Sunday at 4.6 > p. m. reaching New York next morning at 10.10 a. m. On Sundays the sleeper,,
1895-06-20, 20th day,  Tho Board of School Commissioners of the the Municipality of Clarendon Co Pontiac and Province or Quebec will receive applications from School Teachers up to 10 or the clock In the forenoon of Thursday the 20th day of June Instant to supply the 18 schools In the Municipality: 13 Elementary and one Model school Teacher. All Protestant. Applicants will please state tho Salary Grade of Diploma experience In Teaching the Church of their choice and their own age. Applications addressed to signed.	By Order.,,
1895-06-20,Sunday,  Sunday School Excursion.,,
1895-06-20,Sunday,  Wednesday the 12th of June was a gala day for the Sunday School children of tins part of the county. The excursion to Aylmer and the picnic were a success beyond all anticipations. Scholars teachers and parents came from far and near and over nine hundred of them went over the P. P. J. to Aylmer. Two boys from,,
1895-06-27, Thursday,  Ii iiiued from the office of Publication at 8hawville every Thursday.,,
1895-06-27, Thursday,  Two more of Pontiac's old settlers Mr. Wm Ostrom of Calumet Island and Mr. James Glenn of Bristol passed away on Thursday last.,,
1895-06-27,Wednesday,  Call and see Mr. J. W. Green Am-prior's popular photographer every Wednesday at Pontiac House gallery. Samples of work on exhibition.,,
1895-06-27,other day,  Rev. Mr. FVles of Quyon who dropped into the Equity office for a moment or two the other day states the erection of the new church at North Onslow is well advanced. A great deal of the work was the part o,,
1895-06-27,the day,  The day was fine and fully one hundred and sixty people were present and the list of presents below give ample proof of the esteem in which the held by her friends and Presents are as follows :,,
1895-06-27,Sunday,  Large congregations have been in at tendance at the camp meeting here since Sunday ; the evening revivals are eepeci ally well attended and much good is expected to result.,,
1895-06-27,Wednesday,  Mr. Aylen will regularly attend the Courts at Bryson at which place he will slso be be present on the second Wednesday of every month.,,
1895-06-27, Tuesday,  William D. Welter and John H. Hen-dershott were hanged on Tuesday of last week for the murder of William Hender-shott on December 14th 1894 in the woods at Middlemarch Southwold township. The crime was committed to secure several thousand dollars of insurance which John H*ndenhott uncle of the victim had placed on the life of his neph-Bnth the condemned men made a confession to the Rev. Mr. Mr. Spencer but he refused to give any particulars of the confession.,,
1895-06-27, Saturday,  Moved seconded and carried that this locations of a thorough teacher the most Board do now adjourn to meet at 10 a m. prominent being her patience which can-of the clock of Saturday 29th June in- not be excelled. There is no doubt but .tant.	that her labor will be rewarded by the,,
1895-06-27, Friday,  and to send testimonials. AppliestioS to 5 eetimate. comprehended enough to meet that the action of the House of Commons m* * 0	the current needs.	on Friday in accepting the motion of Mr.,,
1895-06-27, yesterday,  reas. ^ yesterday afternoon began at four p m.,,
1895-06-27, Fifth day,    ^lve Periement' billon Grounds Bhswvllle on the Fifth day at Windsor castle list night Lord Rose,,
1895-06-27,Sunday,  nearly $4000 on Sunday.	nurses and was cheered as	he	went by.	between France and Russia says the,,
1895-06-27, Friday,  mostly women was wrecked on Friday by the like the great Cunarders which carry,,
1895-06-27, Friday,  About sixty of the asphalt pavement employes in Hamilton Gnu struck for higher wages on Friday. They are making $1.60 a day at present and they aak tor twenty-five cents a day more.,,
1895-06-27, Friday,  Thomas Gray and his wife Bessie Gray were arrested late on Friday night on a farm in Marion county Florida charged with the murder of David Soollie of,,
1895-06-27, Friday,  ment steamer Petrel on Friday captured _	 	authorities who establish a uniform price generally inferior to Afghanistan.	the 12 drinking families produced in thoee,,
1895-06-27, Friday,  A portion of Western Ontario* which has suffered greatly from drought* had a copious rainfall on Friday last.,,
1895-06-27, Friday,  Two barrels of apples were sold in Montreal last Friday at $25 a barrel.,,
1895-06-27, Friday,  Messrs. A. Newham merchant of Vp-per Thorne Centre and R. McFarlane accountant of Bryson were here on Friday making an audit of the books of the See. Treasurer of Clarendon Council.,,
1895-06-27, yesterday,  ery department withdrawing the grant The announcement that the Manitoba and losing the service of Adolphe Neil son Legislature has adopted Premier Green* one of the ablest pisciculturalists of the WAy*8 resolution declining to fully accept day and undoing the work of six years. remedial order of the Dominion rov-The saving will be about $12000 per ernment has provided a great oppor urn ) annum. The fisheries are now without for acme 0f the Ottawa correspondents to regulation or protection and the most sue- di8piay their powers of imagination and ceesful artificial propagation of cod and fot Bome 0f the stories which have been lobsters arrested. The act is suicidal. wired from Ottawa yesterday and to day,,
1895-06-27, Monday,  Shawville Monday June 10th 1805. 6ral election until the school question V Z  N	^ |T| ENGLISH,,
1895-07-04, Thursday,  Is issued from the office of Publication at Shawville every Thursday.,,
1895-07-04,Sunday,  curator.	service here a few Sundays ago has re attraction# provided for the day were to,,
1895-07-04, Monday,  Monday last exactly ten years after his complained to the Hallway department first acceptance of the highest office that ()f the unsafe condition of the road espe-a British subject can hold he for the cially between Aylmer and Waltham third time takes the reins and undertakes He said the ties were rotten culverts to form a Cabinet. Last year the 24th of unsafe cattle guards broken down bridg-June was made memorable by the assas- La in a wretched condition and the road sination of President Carnot and this | altogether unfit for public travel. The year by the fall of Lord Hoavbery.,,
1895-07-04, Thursday,  At Lennoxvillo on Thursday last an insane man named Mark Sherman murdered a middle aged man named John H Hull with whom he was on friendly terms by cutting his throat with a razor .fighting the farmers battles contend that The murderer also fatally slashed hie own high taxation has not improved their con | throat dition and that the farmers' tariff is a revenue tariff. They may have been misinformed and if the farmers wish to continue under a tariff ranging from thirty to seventy per cent. and up wards let them speak out and the Liberals will withdraw from the opposition at least so far as protecting the farmers' interests go.,,
1895-07-04, Thursday,  ^r^M^MACrARLANE	Last Thursday Judge Malhiot deliver-,,
1895-07-04, Thursday,  At Ottawa on Thursday last before the Committee on Agriculture and Colonization Mr. A. O. Gilbert manager of the poultry department at the Experimental Farm delivered an address on the subject of Poultry raising. The point of his remarks was that the farmers of Canada would find it profitable to devote attention,,
1895-07-04, 29th day,  11 rANTED a Teacher for dissentient school ft Calumet Island(Protestant) bolding a diploma under the rules and regulations of the prov. of Quebec. A ppllcanta to state salary required and all applications to be made to Jamee Letts or the undersigned on or before the 29th day of June next.,,
1895-07-04,the day,  P. P. J railway will Issue single fare tickets for the day.,,
1895-07-04, eighth day,  Public Notice Is hereby given that a meet log of proprietor* of Real Estate will be held on Monday the eighth day of July one thousand eight hundred and ninety-live at the hour of ten In the morning al the Town Hall In the village of Shawville to proceed with the election of two School Commissioners In the room and stead of James Hart and William Elliott whose term of office,,
1895-07-04, Thursday,  The American Tobacco Company of Foreman Frank A. Grover of the Roches-Canada with a capital of one million ter Gas and Electric Light Company while dollars and headquarters in Montreal has work on Thursday evening received a V-eu incorpore ted.	| eh>ck of three thousand volte of electricity,,
1895-07-04, Saturday,  On Saturday afternoon a boy aged nine and his sister aged eleven the children of Mr. A. Rath well of Midland Ont. were bathing in the bay at Midland. The boy got beyond hie depth and sank and his sister in trying to rescue him was also drowned. The bodies were recovered shortly afterwards.,,
1895-07-04, Monday,  The Portuguese Chamber of Deputies in Lisbon was destroyed by fire on Monday and all the archives were burned. The Chsmber of Peers was saved.,,
1895-07-04, Monday,  The Russian Ambassador to France Baron von Mohrenheiminvested President Faure on Monday at the Ely see palace with the cellar of the Order of St Andrew on behalf of the Czar.,,
1895-07-04, Saturday,  The Queen arrived at Windsor from Balmoral cn Saturday. It is understood that the State dinner she is to give to Nasrulla Khan will be a great affair.,,
1895-07-04,Wednesday,  The International Railway Congress will be opened in London on Wednesday by the Prince of Wales. Two hundred and seventy-five railway undertakings will be represent-,,
1895-07-04,Wednesday,  the property of the old Aylmer Court House and Gaol will be sold by auction on the premises at Aylmer on WEDNESDAY the SEVENTH day of the month of AUGUST next at Ten o'clock In the forenoon.,,
1895-07-04, this day,  work at their studies with the proud re Town Hall Shaw ville 20th June 1895. flection shining on their dear   tile faces. The Board of School Commissioners plainly saying we are getting the worth ^et this day. Members present : W. B of our money not like the children of	chairman ; James C. Armstrong,,
1895-07-11, Friday,  On Friday evening aaya the Renfrew Journal as the K. & P. R. express was __	 crossing Argyle at it narrowly escaped,,
1895-07-11, Tuesday,  Mre. Wm. Shaw of Ottawa arrived ien(jing Duncan Stewart from the Castle here on Tuesday evening of last week on for(j neighborhood into eternity a vi*it to her daughter Mrs. Hobbs. bad been drinking more than was good The death is announced at Am prior on for him and although he saw the train Tuesday of last week of Mrs. Hubbell coming he attempted to cross in front of widow of the late James Hubbell for- it. The train was the faster and the,,
1895-07-11,Wednesday,  Even the dogs are ssid to have a decid- middle. The waggon was smashed to held by the Patrons of Industry at Eau ed objection to the performances of Ben pieces (Stewart was hurled high in the Claire on Wednesday the 3rd tost was as he aails down Main street on his gi- air but landed practically unhurt while largely attended. The gantio importation Mon wheels.  	the frightened horses made off on the run. band having misaed the train afterwards,,
1895-07-11,Sunday,  The Manitoba Legislature has passed a law against Sunday street cars.,,
1895-07-11,Sunday,  Toronto every day except Sunday at 4.53 p.m. reaching New York next morning at 10.10 a. m. On Sundays the sleeper rune from Hamilton only connecting with the through train from Toronto. Call at any Grand Trunk office in Toronto for information or space in thie sleeping car. Re,,
1895-07-11,Wednesday,  Iu the Methodist Church here on Wed nesday the 3rd inst. Rev. R Eason per formed the marriage tie between Mr. Tho . M mas G. Dagg son of Richard Dagg Esq. |,,
1895-07-18,Sunday,  oldest residents died on Sunday morning . . euffenngs exhibited a cheerful re I aands of spectators crowded the sidewalks	Gw JUllCKS,,
1895-07-18, Thursday,  Will be at Hhawvllleflrst Thursday of each month.,,
1895-07-18, Saturday,  Hamilton dry goods merchants are die-cussing early closing on Saturdays,,
1895-07-18, Tuesday,  (Tuesday) night ; Chinese lanterns pretty,,
1895-07-18, Thursday,  Thursday afternoon a,,
1895-07-18, Saturday,  Saturday evening.	; ing but little from the present form. The Mamma said positively,,
1895-07-18, lhureday,  cuts $6000 olf his own salary. The bill It will thus be observed that the lowest Bertha wasn't perfect. must now be submitted	to	the	Imperial	amount recorded during	the lost twenty	But lhureday! >> os there ever finer,,
1895-07-18,Sunday,  Sunday afternoon.	vidmg that	China shall not borrow any	jng anything of hia errand	he withdrew	He paused astonished before	a,,
1895-07-18, Labour day,  The Sir John Macdonald statue for Kingston Out. is finished and ready for shipment. The ceremony of unveiling will probably take p acs ou Labour day.,,
1895-07-18, Friday,  Napoleon Denier- the bu.band of Me-lame Masse who was murdered at St. Henri a suburb of Montreal last month was arrested on Friday on the charge of having committed the murder.,,
1895-07-18, Thursday,  Albert and Paul Riesler two Germans were arrested in Toronto on Thursday on warrants charging them with fraud committed in Germany. Tbe German Consul received the warrants from Berlin.,,
1895-07-18,Wednesday,  C. P. R. will be consummated during the daughter of a wealthy farmer of R mirens of jays come runnin' and made 'im drink a Thus again a compensatory juxtaposition next week by which the C. P. R. will Texas confessed on Wednesday to having quarto* whisky.	i of natural forces was established.,,
1895-07-18,Sunday,  hwn before the house. Ihewag	have Item written in defence of his position Vxe old and worn out feel young and vigor at 10.10 am. On Sundays the sleeper,,
1895-07-18, Friday,  F. D. Forty Weduuday July i%th. SKawtille Thursday July 23th. Campbells Bay Friday July 26th.,,
1895-07-18,Wednesday,  F. D. Forty Weduuday July i%th. SKawtille Thursday July 23th. Campbells Bay Friday July 26th.,,
1895-07-18, Tuesday,  The returns of the elections to the British House of Commons received up to Tuesday morning show the number of,,
1895-07-18, Tuesday,  T i ir r ..	.	 On Tuesday July 2. Mr. P. B. Bolger of the,,
1895-07-18, yesterday,  into effect yesterday and warn read from all the pulpits of that church in this dio,,
1895-07-18,Sunday,  At Portage du Fort on Sunday June 23rd the wife of Mr. Albert J. Horner of a son.,,
1895-07-18,Sunday,  At Thorne on Sunday morning the Ulh Inet. to Mr. and Mr*. Sehane a mon.,,
1895-07-18,Sunday,  At Otter Lake on Sunday morning the 14th lust  to Mr. and Mrs. Benjamin Ktlloran a daughter.,,
1895-07-18,Wednesday,  met Island on Wednesday.	giving about 2600 cubic feet refrigerator,,
1895-07-25,Sunday,  Rev. Mr. Brewer of Wakefield who with hie wife has been visiting at the nonage here preached in St. Paul' Sunday morning,,
1895-07-25, few day,  ars First class tablegood yard and stable- Greeted* in Ottawa a few days ago when Mr. Charles Glynn of Ayluier and Mis*	HiHi,,
1895-07-25, Saturday,  etroyed by tire >n Saturday.	A tel Burman of Cadillac Mioh  while same town.	put into the machine and come oat at the M j( the Iset hour had come and that the,,
1895-07-25, Saturday,  Saturday and died a few hours after vf hie I	general.	that arose ae to who should carry it caused in use for years on some of the moat import* uieasurc but you will not be so ungallant,,
1895-07-25, Saturday,  were presentsd to the Queen at Windsor valuable timber in Newfoundland and away a portion of it# foreleg ta the exact on Saturday.	destroyed a number of buildings. The measurement of the part the place of which,,
1895-07-25, Friday,  The general elections in Great Britain practically commenced on Friday with the return of thirty-six unopposed candidates including thirty Conservatives three Liberale and three Paroellites,,
1895-07-25, ten day,  Forest fires have been raging in the vicinity of Alpena Mich. for the last ten days and much valuable timber has been destroyed.,,
1895-07-25, Tuesday,  In the Hi iue i f Commons on Tuesday *f last wail Mr. Itryavn ueked if tbe Government pro pond to transfer his bill to amend - the R.iilway Act to government,,
1895-07-25, Monday,  Parliament on Saturday last as was intended by the (Government and so that function had to be postponed till Monday afternoon of this week when the session closed with the usual formalities. His Excellency's speech on the occasion was as follows :,,
1895-07-25, Friday,  HEALED TENDERS will be received by the undersigned up to noon of Friday the 3Ulh August next ferr the green standing plue spruce and tamarac timber over nine Inches In diameter at the stomp and all dead and fallen timberon thoTemlecamlngoe Indian Reserve which contains an area of 00 sa tiare miles and is situated at the head of Lake Temiscamlngue. In the County of Pontiac in the Province of Quebec.,,
1895-07-25, Tuesday,  A splendid advertiemoutL JH Valley route from the great lakes sea is contained in the New tork Times of Tuesday. It is a three column article accompanied by a good outline map giv ing a clear and forcible sketch of the advantages of the Ottawa route. It is shown how the distance by an Ottawa valley canal from Chicago to Montreal would be nearly 450 miles shorter t han from Chicago to New York by the Erie Canal. From Montreal to Liverpool is 450 miles shorter than from New York to Liverpool ; so that the total saving in distance from Chicago to Liverpool by the Ottawa route would be little short of 90U,,
1895-07-25, natal day,  Halifax celebrated lie natal day last,,
1895-07-25, a day,  A Ulanford man has two cows that within a day of each other gave birth to twin calves.,,
1895-07-25,Sunday,  Last Sunday Rev. George Fuller waa inducted into the pastorate of the Stratford Congregational church.,,
1895-07-25, SEVENTH day,  is advocated ns if the captain thereof wore mises at Aylmer a coward and something worse. Did the SEVENTH day of the month of ATUVHT writer 1 wonder over take cramps while | next at Tvno'eloy* In the forenoon running during his long and noisy hunting A plan of the ground Is riled In theofflceof excursions f If he did ho must feel that the Sheriff of the District at Hull where it had n good excuse for    going to the can be examined.,,
1895-07-25, this day,  H >ard of School commissioners mit this day :	Members present W. 11. Hodgine,,
1895-08-01, Thursday,  Shawville every Thursday.	Mies 1 oily Lester of Arnprior has re- damages of $25000 against the newspaper,,
1895-08-01, Monday,  The long spell of drought which this when he was conversing the other day looking well notwithstanding the very Cache Lake over ICO miles from Otta-village and neighborhood has experienced with his friend Mr. Jackson the decora dry weather we have had. Wheat will be wa is expected to be the eastern terminus M.McLE.vNProprietor Maluat.QuyonQue. was bn ken on	Monday by abundant	tor that it might have some connection	a better crop than it has been fur years.	of the G.A. & P. S. Ry. for next winter.,,
1895-08-01, Tuesday,  Rumerol%Zwill rnnT\hLVmm;%^ro% %lni Tuesday.	and which has so far remained unoccupied completion. We understand there is a trains running to this point by the 15th,,
1895-08-01, Monday,  fci Terr to Connect ior.	Mr. H. Smiky	Rxdford on Wednesday	Sui)d and ma we/e the	Monday the 22nd. It wa. christened by	Georgian Bay. a distance of fifty miles.,,
1895-08-01, Thursday,  Mr. Henry Irving Mr. Walter BesanV and sixteen others went to Windsor on Thursday and were knighted by the Queen.,,
1895-08-01, Saturday,  A large pilgrimage Saturday for Lourdes. France on the Labrador.,,
1895-08-01, Saturday,  At the National Rifle Association meet at Bieley England on Saturday Private Hayhuret of the 13th Battalion Hamilton Ont. won her Majesty the Queen # prize. This is the highest honour to which British,,
1895-08-01, Monday,  A terrible accident occurred on Monday night of last week at Massey on the C.,,
1895-08-01, flflh day,  vine!60 lhl8 flflh day of July. IS05,,
1895-08-01, Thursday,  Information reached Ottawa last Thursday that Fraser Torrence well known in Ottawa where he was for some time con neoted with the Geological survey has been found shot dead near Rat portage.,,
1895-08-01, Friday,  Minister of Marine and Fisheries and to On Friday afternoon last Alex. Walter j the Inspector of tailing vessels deterior-Eddie Brophy the three eldest ating to the character and anilities of i>f Mr. George 1\ Brophy of the Emil Bourman master of the Janot,,
1895-08-01, Friday,  On tho Friday morning following the ! tied around his neck and ther taking h I	____,,
1895-08-01, Tuesday,  were recovered on Tuesday morning four 1 ctr five miles down river from the scene of the accident. Another body is rejiorted to have been recovered in the evening.,,
1895-08-08,holiday,  Mrs. M. Howard and Miss 8. Rolph of Ottawa are spending a holiday at Clarke's station.,,
1895-08-08, Thursday,  Ie issued from the office of Publication at * Shaw ville every Thursday.,,
1895-08-08,Wednesday,  1 being roomy neat comfortable And was turned out at the Almonte Gazette A double wedding took place on Wed of the material generally used for maids alio a choir of little children scat equipped with wery necessary convenience office and surpasses all previous efforts of nesday afternoon last at the residence that purpose. He carefully removed the tering flowers before her. The bride,,
1895-08-08, morning day,  The pedestal for the Mscdoneld memor- i prisoned crowds of passengers. Several ial at Kingston will not be ready in time 1 hours elapsed before the wheel oould be for the unveiling to take place on Labour moved and it was not until next morning day	| that the excited passengers were released.,,
1895-08-08,Sunday,  prior and Harry sound railway for next	against working on Sundays.,,
1895-08-08,other day,  the other day and announced that the intended to sell her large villa near the Danish capital and devote the proceeds to the poor. She had lived she said in the,,
1895-08-08, Saturday,  Tbanday I2tt to Saturday Slat Sept,,
1895-08-08, Tuesday,  aurrcd on Tuesday evening at the advanced Ottawa capital is invested m the enter jsge of 94 years and 8 months. Funeral prise.,,
1895-08-08,Wednesday,  to have taken place between b reach On Wednesday morning last Cap*. Ohas ... and a band of Mapans on the,,
1895-08-08, few day,  Miss Mary and Ttasie Mulvey ton Quo. spent a few days of 1 visiting friends here.,,
1895-08-08,Sunday,  Muses M. Pell and T. Moyleof Quyon spent Sunday 21st ult. visiting friends here. Be sure and come again ladies.,,
1895-08-08,Sunday,  Mr. P. Griffin of Portage du F rt sive avd very much neglected piece of paid Onslow a flying visit on Sunday. woik the flooring giving wayg|,,
1895-08-08, Friday,  Ii*g Burroughs on their next visit On Wednesday and Friday some of out,,
1895-08-08,Wednesday,  Ii*g Burroughs on their next visit On Wednesday and Friday some of out,,
1895-08-08, Friday,  panied them but on Friday there seemed,,
1895-08-15,Sunday,  who was injured by a defective side that he hoped (D. V.) to be with them Scotch Crinkles regular prices 26 cents There is a lesson in this which a#ain by Sunday 18th August and that Pncee now ^ cents per yard.,,
1895-08-15, Unionists day,  Conservatives 338 ; Liberal-Unionists days from date hereof by promissory,,
1895-08-15, yesterday,  Mr. John Little a Winnipeg teamster yesterday it was decided to hold the next in the Island of Luson	V ear after year the rivers of Russia are ooild benefit her. Some murderesses,,
1895-08-15,Wednesday,  VSednesday evening enatcht-d from the	 other day.	would form over tne northern hills and	Then,,
1895-08-15, Saturday,  Thursday 12th to Saturday 21st Sept,,
1895-08-15, Thursday,  Thursday 12th to Saturday 21st Sept,,
1895-08-15, Thursday,  Prescott cattle dealer will apply to Montreal jail Thursday morning. He is Parliament for a bill of divorce from his William J. Robertson who went in six wife Nellie Hayward Morriaon. James months ago a penniless pickpocket in rags Pearson of the city of Toronto barrister and comes out an heir to $75000 which,,
1895-08-15, Friday,  office np to noon on^FridayI6tb^Aupnst IMS or any porfion thereof! oVfortleud Cement!,,
1895-08-15, this day,  last appearance :t may be stated that our	c lawndon met this day : Members pres,,
1895-08-15, Friday,  On Friday evening there was an addi,,
1895-08-22, Thursday,  Shawville every Thureday.,,
1895-08-22, Thursday,  Will be at Shawville ret Thursday of each | tlon month,,
1895-08-22,Sunday,  Mr. Thomas Uoare of Ottawa spent Sunday with his sister Mrs. R. Smart,,
1895-08-22, few day,  A number of roerehante from Manitoba have arrived in Toronto within a few days to make their fall purchases. They speak glowingly ef crop prospecta in that,,
1895-08-22,Sunday,  there all her clothes were burned off. After mites as follow# :-Firat grand prize $10- The Telegram the Government organ for one hour and ten minutes. Rapid eer- rulm* at the highest figure of the sea.00 intense agony she died on Sunday.	L to Lord Rayleigh and Prof. Rsmaey promises that prompt end vigorous action ?ioe in ineieted upon yet four or five wait Money ie plentiful and ease but re-,,
1895-08-22,Wednesday,  Malcolm H. Grieves of London Ont. aged 21 died on Thursday night from the effects of an accident at a factory on Wednesday. He whs working at a circular saw and was handling a piece of wood when it was caught by the taw. He was,,
1895-08-22,Wednesday,  hope# are liable to disappointment. It is rowly escaped cremation Wednesday night stated upon good authority according to W in a fire which badly damaged the,,
1895-08-22,other day,  In the United States there his | Hall was laid the other day.,,
1895-08-22, One day,  One day last week 1000 men gathered at the Montreal labour Bureau looking for,,
1895-08-22, birthday,  John A. McCarthy the eldest policeman in Outario celebrated hie eighty-fourth birthday recently at Stratford.	j,,
1895-08-22, Saturday,  Thursday 12th Saturday 21st Sept .,,
1895-08-22, Thursday,  Thursday 12th Saturday 21st Sept .,,
1895-08-29, Monday,  The new Anglican church at Bristol Mines was consecrated by Hie Lordship on Monday of last week.,,
1895-08-29, Thursday,  ARTHUR MCCONNELL.	Shewville	every Thursday	Section of Lealie Cawood and Thorne	or Watc  man-,,
1895-08-29,Sunday,  Parish of Portage du Fort. 12th Sunday after Trinity Sept. 1.,,
1895-08-29, Monday,  returned to Ottawa on Monday after	able one and Baie des Pere was reached	comfortably seated had the railway com	Ml\ll r	wIM I e,,
1895-08-29,Sunday,  sistant engineer will get $2 a day when on \aula church on * Sunday las the occa- nQ| bechanced.	the fund for their church. aad byfhis decfslon,,
1895-08-29,Wednesday,  Mr. Aylen will regularly attend the Courts at Bryson at which place he will *lso be be present on the second Wednesday of every month.,,
1895-08-29, Thursday,  Mr. H. Bell a infant died last Thursday after having spent all of its short life in great pain.,,
1895-08-29, Monday,  Quite a number ol our young folk went blackberry-lng to Green Lake last Monday ; they report the berries scarce. Hope J-e wont have inflammation after the trip as school has opened now and-oh well It's all right anyway.,,
1895-08-29, Thursday,  K?* Dr Stack house sr. will be at Quyon on Tuesday Sept 10 ; Shawville Wednesday Sept. 11 ; Campbell's Bay Thursday Sept. 12th.,,
