Equity issue, day of week, description (from line)
1895-06-13, Sunday,  on Sunday while bathing in the Uun	| tbouiAD(j dollars reward for the arrest of
1895-06-13, thirty day,  foi duty this week. Ihie indicates i >a ^ the boiler of a steamer in Lislwii harbor the look will be in operation In thirty day..		.	.
1895-06-13, turday,  from a Toronto firm. The order was mla- g*turday by an explosion at Major de understood and twelve barrels of nutmegs	gunpowder factory ut Felixdorf
1895-06-13, Sunday,  A Scotch Mormon with hie three wives become very much worse arrived in Quebec on Sunday night. The ^	pMteur the distinguished
1895-06-13, Saturday,  Saturday in the Fife- kined eed fourteen mortally wounded.
1895-06-13, Dominion day,  other oethartic.	I Dominion day.
1895-06-13, labor day,  eight hour labor day. The premier point*
1895-06-13, yesterday,  of American and Canadian horses sold here yesterday. They were much
1895-06-13, Wednesday,  T. W. Horn who it is generally con ceded was responsible for the failure of the jury to agree at the last trial and who as solicitor for the prisoners " as mainly instrumental in woiking up the defence will sail via steamer Germanic Wednesday for Heidelberg Germany to enquire into the life of the twins while attending college there. Mr. Horn has been retained to watch the interests of the accused until the conclusion of the eeoond trial. The twins it will be re membered spent four years at college m Heidelbt rg prior to opening an office in New York from which city they fled to Canada forfeiting their bail.
Binary file 1895-06-13,  matches
1895-06-20, Thursday,  la issued from the office of Publication at Shaw ville every Thursday.
1895-06-20, Monday,  Correspondence of local Interest solicited	Montreal on Monday night fora two
1895-06-20, Thursday,  17wm be atd8hawvlllenr.t Thursday of each	of Westmeath have dissolved partnership.	Samples of work on exhibition.	while the man wae in the act of putting
1895-06-20, Monday,  Loup on Monday morning where she in- PCNio at Thorne Wbst.-A picnic ^he new firm will be etyled Stafford and
1895-06-20, the day,  deuce. In the Ottawa branch as many as	Thursday last. Although the day was
1895-06-20, to day,  that 95 per cent of these are to day sober t^fwjwjotjjpeiak of having spent a fair- ^ g g ARCADE
1895-06-20, Wednesday,  Some weeks the Advance .trained hold their exhibition a week earlier this One of the young probatoners at the its wind guage somewhat in describing year than on former occasions that la m- Methodist conference last week at ni di a some	specimens of hen fruit which had	stead of being held on the 1st Wednesday	Fall s asked and obtained leave to marry
1895-06-20, Monday,  not in it at all with a couple left at event a greater success if possible than A young man named Soguin son of tho our office on Monday by Mr. John Stow- the exhibitions of former years.	sexton of the Catholic church at Papin-
1895-06-20, consecutive day,  The examination for cullers for thepro-	these eggs from a nest on consecutive days	Lf the Advance with the possession of	for a term of six months on	a charge of
1895-06-20, Wednesday,  1 her office'in Hull ended on Wednesday	hen. The larger of the two measures	pUted he woM ^ to the extreme of fol-	which money is gathered for	the relief o
1895-06-20, Saturday,  TAUGHT FROM	principal business places of the village.	and on Saturday morning left the vkm*	^ mn4 Mie Katie Hughea acted as	c^adan home with him on the present
1895-06-20, the day,  hours of the day or night 1
1895-06-20, Monday,  loan. Huy also deny that the loan is a Burglars on Monday night entered the sntl ca8Uttlles ln he L nlled Kln8d<>m re- SULTAN n Ukves FRANCK and Russia will amazes any foreigner in China is the preferred one upon the Customs revenue. vault of the State Treaeuiy in Concord N. ported to the British Board of Trade has	aii> 'm	1	"
1895-06-20, Saturday,  On Saturday at Ridgetown. Ontario H- end stole .lx thousand dollars. The j just been issued. Last year 22 per. on. WK  K K .. . k a pUcency with which even well-informed
1895-06-20, Saturday,  on Saturday. The estimated increase	in	the f**altih8e 0D 7oman vould corrupt her	72 times. Then there were 38 occasions RVS9AI< A9TVTKN1S9 N THe 1A9T.	their fellow soldiers who were armed with
1895-06-20, E'~E3SSSSI SSsSSSSSS
1895-06-20, Tuesday,  Maharajah Abubakar Saltan of Johore who recently arrived in London on a visit died on Tuesday evening.
1895-06-20, 40 day,  for Michigan. Several weeks ago North found himself out of employment and without a dollar. He and his wife decided to start for their old home on foot They walked the entire distance begging food along the way. They were on the road 40 days and slept in farmhouses bins and sheds suffering much. North is sixty years old and a cripple. Hie wife is 55 years old. Relatives near Ceres are caring
1895-06-20, those day,  They find them. To no part of London for them has greater effort toward# reform been devoted than to the Thames. Along its banks the most desperate and cunning of biggest city's criminals onoe nightly gathered. In those days barges at anchor and ships docks were forced to guard their property a# they were in a place where law and order did not exist. More than a dozen murders were done by Thames thieves in one week years ago and a drunken man wee almost certain to lose hie valuables and like ae not hie life if he ventured near to the strange river.
1895-06-20, the day,  But that was before the days of the Metropolitan Police. Now a great floating dock at the side of Victoria Embankment is the headquarters of one 'of the most perfectly disciplined and thoroughly competent bodies of police in the world. The arches have been replaced by this very embankment and others which like ltlins the Thames with solid stone walls surmounted by pleasant driveways or staid business streets. The docks are well patrolled and the old-time desperate waterside characters have to a great ex tent passed into history.
1895-06-20, Sunday,  now running without change via the popular West shore route. It is a buffet car and refreshments can be obtained en route if desired. This car leaves Union Station Toronto every day except Sunday at 4.6 > p. m. reaching New York next morning at 10.10 a. m. On Sundays the sleeper
1895-06-20, 20th day,  Tho Board of School Commissioners of the the Municipality of Clarendon Co Pontiac and Province or Quebec will receive applications from School Teachers up to 10 or the clock In the forenoon of Thursday the 20th day of June Instant to supply the 18 schools In the Municipality: 13 Elementary and one Model school Teacher. All Protestant. Applicants will please state tho Salary Grade of Diploma experience In Teaching the Church of their choice and their own age. Applications addressed to signed.	By Order.
1895-06-20, Sunday,  Sunday School Excursion.
1895-06-20, Sunday,  Wednesday the 12th of June was a gala day for the Sunday School children of tins part of the county. The excursion to Aylmer and the picnic were a success beyond all anticipations. Scholars teachers and parents came from far and near and over nine hundred of them went over the P. P. J. to Aylmer. Two boys from
1895-06-20, whole day,  P. Judge the company dispersed to catch the home going train. The whole day waa enjoyable the weather delightful and all passed off without accident or mishap.
Binary file 1895-06-20,  matches
1895-06-27, Thursday,  Ii iiiued from the office of Publication at 8hawville every Thursday.
1895-06-27, Thursday,  Two more of Pontiac's old settlers Mr. Wm Ostrom of Calumet Island and Mr. James Glenn of Bristol passed away on Thursday last.
1895-06-27, Wednesday,  Call and see Mr. J. W. Green Am-prior's popular photographer every Wednesday at Pontiac House gallery. Samples of work on exhibition.
1895-06-27, other day,  Rev. Mr. FVles of Quyon who dropped into the Equity office for a moment or two the other day states the erection of the new church at North Onslow is well advanced. A great deal of the work was the part o
1895-06-27, these day,  busy spot these days. A cool store and lots of NEW GOODS of reliable qualities at close prices make it so.
1895-06-27, The day,  The day was fine and fully one hundred and sixty people were present and the list of presents below give ample proof of the esteem in which the held by her friends and Presents are as follows :
1895-06-27, Sunday,  Large congregations have been in at tendance at the camp meeting here since Sunday ; the evening revivals are eepeci ally well attended and much good is expected to result.
1895-06-27, Wednesday,  Mr. Aylen will regularly attend the Courts at Bryson at which place he will slso be be present on the second Wednesday of every month.
1895-06-27, Monday,  The quantity of milk received at the Lilly cheese factory on Monday 27th inst. was 13911 lbs. This eclipses all previous records up to date.
1895-06-27, the day,  Calls responded to at all hours of the day or night.
1895-06-27, Tuesday,  William D. Welter and John H. Hen-dershott were hanged on Tuesday of last week for the murder of William Hender-shott on December 14th 1894 in the woods at Middlemarch Southwold township. The crime was committed to secure several thousand dollars of insurance which John H*ndenhott uncle of the victim had placed on the life of his neph-Bnth the condemned men made a confession to the Rev. Mr. Mr. Spencer but he refused to give any particulars of the confession.
1895-06-27, Saturday,  Moved seconded and carried that this locations of a thorough teacher the most Board do now adjourn to meet at 10 a m. prominent being her patience which can-of the clock of Saturday 29th June in- not be excelled. There is no doubt but .tant.	that her labor will be rewarded by the
1895-06-27, by day,  being acquainted with the position or regular intervals. It was incredible to note number of the invader* ; but by daylight the change. Her color came back a differ-their miserable force must inevitably be ent look in her eyes her general health discovered. They deliberated and X and appearance gave us all new interest in
1895-06-27, to day,  Globe to day. The same cheering news two thirds. So much has free trade done
1895-06-27, Friday,  and to send testimonials. AppliestioS to 5 eetimate. comprehended enough to meet that the action of the House of Commons m* * 0	the current needs.	on Friday in accepting the motion of Mr.
1895-06-27, yesterday,  reas. ^ yesterday afternoon began at four p m.
1895-06-27, Fifth day,  "^lve Periement' billon Grounds Bhswvllle on the Fifth day at Windsor castle list night Lord Rose
1895-06-27, that day,  These words bore so closely upon the You have accused Mr. Wyatt of trick-new ties she had formed on that day tng to win me ; he has not done so. lie t^e bottom of one of them. A very that Rachel's heart beat fast ; but she bas been manly and honorable and up- ljule wid be enough. If the husband and did not know whether to hope or to riglt . and had he not seen that I loved the houee Bre empty 0f pretty much every fear	him I doubt whether he would ever thlDg but children ehe takes the shortened
1895-06-27, same day,  end blood sho Vor whom I work- * 0f joy. On the same day that the la monstrous -	wU !nhertl the lovers pllglitcd their troth they decid-
1895-06-27, twe day,  twe days. Were it made where the asphalt
1895-06-27, six day,  entirely obliterated in five or six days
1895-06-27, Sunday,  nearly $4000 on Sunday.	nurses and was cheered as	he	went by.	between France and Russia says the
1895-06-27, Friday,  mostly women was wrecked on Friday by the like the great Cunarders which carry
1895-06-27, a day,  About sixty of the asphalt pavement employes in Hamilton Gnu struck for higher wages on Friday. They are making $1.60 a day at present and they aak tor twenty-five cents a day more.
1895-06-27, Friday,  Thomas Gray and his wife Bessie Gray were arrested late on Friday night on a farm in Marion county Florida charged with the murder of David Soollie of
1895-06-27, Friday,  ment steamer Petrel on Friday captured _	 	authorities who establish a uniform price generally inferior to Afghanistan.	the 12 drinking families produced in thoee
1895-06-27, Friday,  A portion of Western Ontario* which has suffered greatly from drought* had a copious rainfall on Friday last.
1895-06-27, Friday,  Two barrels of apples were sold in Montreal last Friday at $25 a barrel.
1895-06-27, Friday,  Messrs. A. Newham merchant of Vp-per Thorne Centre and R. McFarlane accountant of Bryson were here on Friday making an audit of the books of the See. Treasurer of Clarendon Council.
1895-06-27, yesterday,  ery department withdrawing the grant The announcement that the Manitoba and losing the service of Adolphe Neil son Legislature has adopted Premier Green* one of the ablest pisciculturalists of the WAy*8 resolution declining to fully accept day and undoing the work of six years. remedial order of the Dominion rov-The saving will be about $12000 per ernment has provided a great oppor urn ) annum. The fisheries are now without for acme 0f the Ottawa correspondents to regulation or protection and the most sue- di8piay their powers of imagination and ceesful artificial propagation of cod and fot Bome 0f the stories which have been lobsters arrested. The act is suicidal. wired from Ottawa yesterday and to day
1895-06-27, Monday,  Shawville Monday June 10th 1805. 6ral election until the school question V Z"N	^ |T| ENGLISH
1895-06-27, second day,  Moved by coun. Armstrong and seconded by coun. McRae that tenders bb asked for to be received up till Tuesday the second day of July for the construction of a road on that portion of the sideline between lots 8 and 9 from the point where tho roa ddiverges to the 7th line the specifications of which can be seen at
Binary file 1895-06-27,  matches
1895-07-04, Thursday,  Is issued from the office of Publication at Shawville every Thursday.
1895-07-04, these day,  Is a busy spot these days. A cool store and lots of NEW GOODS of reliable qualities at close prices make it so.
1895-07-04, the day,  curator.	service here a few Sundays ago has re attraction# provided for the day were to
1895-07-04, few day,  ycur honored name."	his living rooms and sent for Rachel. and fla1lthful tov h< r'a8 she was to him. but a few days when walking in the dates of the birth ot several boy. and girls
1895-07-04, the day,  by means of my monay. It would jI Htb bwe and duly*	stance*.	To Mr. Inglefleld the days	ed Mr. Inglefleld.	and to them was born a daughter a beauti-
1895-07-04, The day,  hours in the hope of restoring declared that he was beyond h and in less than twelve hours he had apparently ceased to breathe. Stipple was supposed to be dead and he was prepared for burial. The day was fixed for the funeral and the young widow was nearly crazy.
1895-07-04, per day,  Company of Toronto. S. 8. Potter owns to the belief of every one who was near a large canning businesshie factory having him was dead. The physician himself a capacity of 3500 cans per day. He grows declared after examination that life was hie own fruits and vegetables so that his extinct and delivered the necessary certifi-goods are always reliable.	cate for the burial of the body. Now the
1895-07-04, One day,  One day about twenty year# ago Mrs. but you will always know ue apart won t Stipple was engaged in sweeping out the you!	.
1895-07-04, Monday,  Monday last exactly ten years after his complained to the Hallway department first acceptance of the highest office that ()f the unsafe condition of the road espe-a British subject can hold he for the cially between Aylmer and Waltham third time takes the reins and undertakes He said the ties were rotten culverts to form a Cabinet. Last year the 24th of unsafe cattle guards broken down bridg-June was made memorable by the assas- La in a wretched condition and the road sination of President Carnot and this | altogether unfit for public travel. The year by the fall of Lord Hoavbery.
1895-07-04, Thursday,  At Lennoxvillo on Thursday last an insane man named Mark Sherman murdered a middle aged man named John H Hull with whom he was on friendly terms by cutting his throat with a razor .fighting the farmers battles contend that The murderer also fatally slashed hie own high taxation has not improved their con | throat dition and that the farmers' tariff is a revenue tariff. They may have been misinformed and if the farmers wish to continue under a tariff ranging from thirty to seventy per cent. and up wards let them speak out and the Liberals will withdraw from the opposition at least so far as protecting the farmers' interests go.
1895-07-04, Thursday,  ^r^M^MACrARLANE	Last Thursday Judge Malhiot deliver-
1895-07-04, a day,  The costs will exceed $2000 and they A Kentucky farmer has entered an and the fine must be paid within fifteen action for breach of promise against a days or imprisonment must follow school teacher who he claims had prornis-mayor Aubry was not present when the ed to marry him. The Judge holds the sentence was given.	view that the man will get full justice
1895-07-04, Thursday,  At Ottawa on Thursday last before the Committee on Agriculture and Colonization Mr. A. O. Gilbert manager of the poultry department at the Experimental Farm delivered an address on the subject of Poultry raising. The point of his remarks was that the farmers of Canada would find it profitable to devote attention
1895-07-04, 29th day,  11 rANTED a Teacher for dissentient school ft Calumet Island(Protestant) bolding a diploma under the rules and regulations of the prov. of Quebec. A ppllcanta to state salary required and all applications to be made to Jamee Letts or the undersigned on or before the 29th day of June next.
1895-07-04, the day,  P. P. J railway will Issue single fare tickets for the day.
1895-07-04, eighth day,  Public Notice Is hereby given that a meet log of proprietor* of Real Estate will be held on Monday the eighth day of July one thousand eight hundred and ninety-live at the hour of ten In the morning al the Town Hall In the village of Shawville to proceed with the election of two School Commissioners In the room and stead of James Hart and William Elliott whose term of office
1895-07-04, Thursday,  The American Tobacco Company of Foreman Frank A. Grover of the Roches-Canada with a capital of one million ter Gas and Electric Light Company while dollars and headquarters in Montreal has work on Thursday evening received a V-eu incorpore ted.	| eh>ck of three thousand volte of electricity
1895-07-04, Saturday,  On Saturday afternoon a boy aged nine and his sister aged eleven the children of Mr. A. Rath well of Midland Ont. were bathing in the bay at Midland. The boy got beyond hie depth and sank and his sister in trying to rescue him was also drowned. The bodies were recovered shortly afterwards.
1895-07-04, Monday,  The Portuguese Chamber of Deputies in Lisbon was destroyed by fire on Monday and all the archives were burned. The Chsmber of Peers was saved.
1895-07-04, Monday,  The Russian Ambassador to France Baron von Mohrenheiminvested President Faure on Monday at the Ely see palace with the cellar of the Order of St Andrew on behalf of the Czar.
1895-07-04, cup day,  ghan Prince now visiting England Khan was present at Ascot on 6f. Ae	 cup day sud he was as sulky as usual. He
1895-07-04, Saturday,  The Queen arrived at Windsor from Balmoral cn Saturday. It is understood that the State dinner she is to give to Nasrulla Khan will be a great affair.
1895-07-04, Wednesday,  The International Railway Congress will be opened in London on Wednesday by the Prince of Wales. Two hundred and seventy-five railway undertakings will be represent-
1895-07-04, the day,  son placed them on one side of the con- trouble was a fight in which Louis 1 iche cern and so as not to spoil the beauty of received a dark mark from Jerome A seethe.picture space alone was allowed to lin the day before which developed into a
1895-07-04, a day,  The chairman proposed a vote of thanks to his private room to the gentlemen who had taken a day Very general regret is felt that Mr. from their parliamentary duties to assist James McCarrager has retired from the at this church picnic but he omitted to charge of the Bryson R. 0. School. He accord a word of praise to the members of has however a better position.
1895-07-04, SEVENTH day,  the property of the old Aylmer Court House and Gaol will be sold by auction on the premises at Aylmer on WEDNESDAY the SEVENTH day of the month of AUGUST next at Ten o'clock In the forenoon.
1895-07-04, this day,  work at their studies with the proud re Town Hall Shaw ville 20th June 1895. flection shining on their dear "tile faces. The Board of School Commissioners plainly saying we are getting the worth ^et this day. Members present : W. B of our money not like the children of	chairman ; James C. Armstrong
1895-07-04, next day,  ficiently to afford material for a supple- Moved by Jas. C. Armstrong seconded mentaiy picnic next day.	by Jas. Hart that the chairman be and
Binary file 1895-07-04,  matches
1895-07-11, Friday,  On Friday evening aaya the Renfrew Journal as the K. & P. R. express was __	 crossing Argyle at it narrowly escaped
1895-07-11, Tuesday,  Mre. Wm. Shaw of Ottawa arrived ien(jing Duncan Stewart from the Castle here on Tuesday evening of last week on for(j neighborhood into eternity a vi*it to her daughter Mrs. Hobbs. bad been drinking more than was good The death is announced at Am prior on for him and although he saw the train Tuesday of last week of Mrs. Hubbell coming he attempted to cross in front of widow of the late James Hubbell for- it. The train was the faster and the
1895-07-11, Wednesday,  Even the dogs are ssid to have a decid- middle. The waggon was smashed to held by the Patrons of Industry at Eau ed objection to the performances of Ben pieces (Stewart was hurled high in the Claire on Wednesday the 3rd tost was as he aails down Main street on his gi- air but landed practically unhurt while largely attended. The gantio importation Mon wheels."	the frightened horses made off on the run. band having misaed the train afterwards
1895-07-11, these day,  Is a busy spot these days. A cool store and lota of NEW GOODS of reliable qualities at close prices make it so.
1895-07-11, these day,  Large quantities of wool from all parts of the county are being received at the Pontiac Woollen Mills these days.
1895-07-11, the day,  Calls responded to at all hours of the day or night.
1895-07-11, Sunday,  The Manitoba Legislature has passed a law against Sunday street cars.
1895-07-11, first day,  The passport obeys her helm with ease and but a few doses of the pills stopped it and grace eo our landing ie uneventful. Thus for the last eight mouth* had been entirely I reached the City of the Bay. And that free from the terrible malady from which evening driving around its leafy streets no one who knew the circumstances the solitary occupant of a huge cab 1 re- expected she would recover and her newed the conflict with my German oh parents ae may be expected are warm in etinaoy. Bnt the remembrance of the in their praises of the wonderful remedy matchless bay did good office as peacemak- which worked such great results. These er. I had ail days to spend in Belleville facte are known to all who are acquainted The first day found me at Maesaesaga Park with the family and further comments are a most delightful resort four mile* down wholly unnecessary the bay reached by boats leaving Belleville When such strong tributes as these can every two or three houra The proud be had to the wonderful merit# of Pink fisherman pulls up at this point to listen to Pills It is little wonder that they are the the praises of the guests as he exhibits hie favorito remedy with all classes. 1 hey are five-pound base or hie thirty-two pound an unfailing specific for locomotor ataxia maekinonge. I am bound to tell the truth: partial paralysie St Vitus' dance sciatica
1895-07-11, second day,  My second day wae given to Glen Island Williams Medicine Company of Brock-and Oiecora. . Glen Island ie a quiet ville Ont. and Schenectady N. Y. and camping spot cool grassy shady and sold in boxes (never in loose form by the wooed By the waters of the bay. Opposite dosen or hundred and the public are cau-this Island ie Glenora. And here I found | Honed against numerous imitations in this the wonderful Lake on the Mountain. Now | shape) at 50c. a box or 6 boxes for $2.50
1895-07-11, A day,  The readers of the News have been made familiar with the virtue of Dr. Williams' Pioh Pille for Pale People through the article# appearing from time to time in thee# columns and while the druggists lay that many in thie vicinity have received undoubted benefit from their timely use it ie oely recently that we have heard of a ou re in Berlin of euoh importance ae to take rank among the most remarkable yet published. There ie hardly a man or woman in the town of Berlin or the county ol Waterloo who does not know Mr Martin Sim peon issuer of marriage licensee and general merchant King street. Anything said by Mr. Simpson will be implicitly relied upon. A day or two ago we had a talk with him in ref rence to hie fourteen year old daughter Helen who had for two year# been a great sufferer from St Vitus' dance. He tells ue that it warn the worst case be ever saw She did not sleep for whole nights and was an intense
1895-07-11, Sunday,  Toronto every day except Sunday at 4.53 p.m. reaching New York next morning at 10.10 a. m. On Sundays the sleeper rune from Hamilton only connecting with the through train from Toronto. Call at any Grand Trunk office in Toronto for information or space in thie sleeping car. Re
1895-07-11, last day,  My last day in Belleville wee spent In the oily itself. I visited the city of the dead " by peaceful Quintet* side" the Provincial Institution for the Deaf and Dumb the Hospital many manufacturing establish* meats besides taking note of the beautiful hemes gardens and the score ef
1895-07-11, few day,  I said good-bye to the Oity of the Bay with somewhat of sorrow. I was going book to musty books and to wearisome columns of tig feeand 1 knew that it meant for a few days at least a fight with a remembrance of avenuesparks white send the ploturkllue Bay of Qu ote fine fishing
1895-07-11, a day,  work honestly and with their leriooi Mj automatic look they make between I1..W and $2 a day. The other employees of the Bailee bow down to them and are ever
1895-07-11, two day,   for what was hitherto of no uee whatever Last year/ I said two days he- I ^ burned in factory furnaces to gel it ed.	I fore Christmas I Santa Claus recelv- oufc the way.
1895-07-11, one day,  who was postmaster of the and In c .nveisatlon one day he
1895-07-11, that day,  holiday tour" Basil Penrhyn commenced "1 was. as you know called abroad and from that day to tills I have never visited my native land ; had I done so. I should most certainly have sought you out.
1895-07-11, all day,  had faith and had strengthened that	Is out all day looking for work ; he	hand. She w\s fully dressed.
1895-07-11, the day,  time I relinquished the cares of when the day arrives. Another writes business and retired from Its duties that she has had a dream about me with the Intention of devoting myself and that 1 promised he <*toy. and she entirely to the training of my dear wonders what sort of a loy it will be. daughter I had made a great deal There is something she would like bet-
1895-07-11, per day,  per day noticed that the eipenditure upon the case appeared to be one of groee outrage.	roMMCBTlAL tkcatics.	| department of trade at Toronto just now.
1895-07-11, holiday,  heart enough in them tc accede to the re forka M ie\Da John Stewart water quo.t of their clerk for a half holiday ^ Murrell crystal tea .et and every week do not be kicker and com ^	llld Annie Cara wall lem
1895-07-11, holiday,  darks have a half holiday even week du-	. Kte McKay pitcher ; Mr. T. We are Still running OU time orJ^
1895-07-11, holiday,  the half holiday be freely adverti.ed in	k handkerchief. ; Mrs. John
1895-07-11, nesday,  Iu the Methodist Church here on Wed nesday the 3rd inst. Rev. R Eason per formed the marriage tie between Mr. Tho . M mas G. Dagg son of Richard Dagg Esq. |
Binary file 1895-07-11,  matches
1895-07-18, Sunday,  oldest residents died on Sunday morning . . euffenngs exhibited a cheerful re I aands of spectators crowded the sidewalks	Gw JUllCKS
1895-07-18, Thursday,  Will be at Hhawvllleflrst Thursday of each month.
1895-07-18, today,  imictod actual evils from which mil- their schedules operate against us that is lions are suffering today. Yet Great incidental and gives this country no right
1895-07-18, holiday,  ! is tiie period of the mideu inner and holiday somewhat curious source before going
1895-07-18, s day,  Now nvnd. I'll tell it you. Twenty Unie* s day deer.
1895-07-18, a day,  Twe nty time* a day dear
1895-07-18, a day,  Twenty times a day.
1895-07-18, Saturday,  Hamilton dry goods merchants are die-cussing early closing on Saturdays
1895-07-18, Tuesday,  (Tuesday) night ; Chinese lanterns pretty
1895-07-18, Thursday,  Thursday afternoon a
1895-07-18, Saturday,  Saturday evening.	; ing but little from the present form. The Mamma said positively
1895-07-18, lhureday,  cuts $6000 olf his own salary. The bill It will thus be observed that the lowest Bertha wasn't perfect. must now be submitted	to	the	Imperial	amount recorded during	the lost twenty	But lhureday! >> os there ever finer
1895-07-18, present day,  It is announced that King Humbert will year I860 or in ay the shrinkage in revenue lost joy. Annl Eleanor was pretty sett-shortly ioeoe a decree exonerating Premier from this source be due to the greater | hearted aud not very old. She said. U so Crispi from the charges of having been con- energy displayed by the income tax assess kindly! gggg# nected with Dr. Cornelius	Herx the Panama	ors of the present day?	Whatever the	"Cheer up dearie? Next wee a yen
1895-07-18, future day,  A. P. A. anc orange procession. vveral	loau 0f	Mxteen	million pounds sterling	promised to pay him on a future day. He	Though it seemed	buv a useleee thing to do
1895-07-18, Sunday,  Sunday afternoon.	vidmg that	China shall not borrow any	jng anything of hia errand	he withdrew	He paused astonished before	a
1895-07-18, Labour day,  The Sir John Macdonald statue for Kingston Out. is finished and ready for shipment. The ceremony of unveiling will probably take p acs ou Labour day.
1895-07-18, Friday,  Napoleon Denier- the bu.band of Me-lame Masse who was murdered at St. Henri a suburb of Montreal last month was arrested on Friday on the charge of having committed the murder.
1895-07-18, Thursday,  Albert and Paul Riesler two Germans were arrested in Toronto on Thursday on warrants charging them with fraud committed in Germany. Tbe German Consul received the warrants from Berlin.
1895-07-18, Wednesday,  C. P. R. will be consummated during the daughter of a wealthy farmer of R mirens of jays come runnin' and made 'im drink a Thus again a compensatory juxtaposition next week by which the C. P. R. will Texas confessed on Wednesday to having quarto* whisky.	i of natural forces was established.
1895-07-18, Sunday,  hwn before the house. Ihewag	have Item written in defence of his position Vxe old and worn out feel young and vigor at 10.10 am. On Sundays the sleeper
1895-07-18, two day,  painful and obstinate corns in two days. Painless sure acting corn cure. Putnam's
1895-07-18, Friday,  F. D. Forty Weduuday July i%th. SKawtille Thursday July 23th. Campbells Bay Friday July 26th.
1895-07-18, Tuesday,  The returns of the elections to the British House of Commons received up to Tuesday morning show the number of
1895-07-18, Tuesday,  T i ir r ..	.	 On Tuesday July 2. Mr. P. B. Bolger of the
1895-07-18, yesterday,  into effect yesterday and warn read from all the pulpits of that church in this dio
1895-07-18, Sunday,  At Portage du Fort on Sunday June 23rd the wife of Mr. Albert J. Horner of a son.
1895-07-18, Sunday,  At Thorne on Sunday morning the Ulh Inet. to Mr. and Mr*. Sehane a mon.
1895-07-18, Sunday,  At Otter Lake on Sunday morning the 14th lust  to Mr. and Mrs. Benjamin Ktlloran a daughter.
1895-07-18, Wednesday,  met Island on Wednesday.	giving about 2600 cubic feet refrigerator
Binary file 1895-07-18,  matches
1895-07-25, Sunday,  Rev. Mr. Brewer of Wakefield who with hie wife has been visiting at the nonage here preached in St. Paul' Sunday morning
1895-07-25, few day,  ars First class tablegood yard and stable- Greeted* in Ottawa a few days ago when Mr. Charles Glynn of Ayluier and Mis*	HiHi
1895-07-25, Saturday,  etroyed by tire >n Saturday.	A tel Burman of Cadillac Mioh  while same town.	put into the machine and come oat at the M j( the Iset hour had come and that the
1895-07-25, Saturday,  Saturday and died a few hours after vf hie I	general.	that arose ae to who should carry it caused in use for years on some of the moat import* uieasurc but you will not be so ungallant
1895-07-25, Saturday,  were presentsd to the Queen at Windsor valuable timber in Newfoundland and away a portion of it# foreleg ta the exact on Saturday.	destroyed a number of buildings. The measurement of the part the place of which
1895-07-25, Friday,  The general elections in Great Britain practically commenced on Friday with the return of thirty-six unopposed candidates including thirty Conservatives three Liberale and three Paroellites
1895-07-25, ten day,  Forest fires have been raging in the vicinity of Alpena Mich. for the last ten days and much valuable timber has been destroyed.
1895-07-25, 	I weaknesses and blights their future bap- They are likely to give valuable help to
1895-07-25, every day,  twenty-four hours of sixty minutes each everything in life's future is about to slip Medical Association Buffalo N Y. every day which is all the time there is. Dorn your grasp and in early grave your
1895-07-25, Tuesday,  In the Hi iue i f Commons on Tuesday *f last wail Mr. Itryavn ueked if tbe Government pro pond to transfer his bill to amend - the R.iilway Act to government
1895-07-25, crucial day,  Mr. Gladstone who declined to canvas* in the crucial days before the elections in spite of the appeals from his party's lead ufs will say nothing since then beyond a message of sympathy to Sir Win. Har. court.
1895-07-25, Monday,  Parliament on Saturday last as was intended by the (Government and so that function had to be postponed till Monday afternoon of this week when the session closed with the usual formalities. His Excellency's speech on the occasion was as follows :
1895-07-25, Friday,  HEALED TENDERS will be received by the undersigned up to noon of Friday the 3Ulh August next ferr the green standing plue spruce and tamarac timber over nine Inches In diameter at the stomp and all dead and fallen timberon thoTemlecamlngoe Indian Reserve which contains an area of 00 sa tiare miles and is situated at the head of Lake Temiscamlngue. In the County of Pontiac in the Province of Quebec.
1895-07-25, fifteen day,  The successful tenderer shall within fifteen days from date of notice of acceptance pay the balance of bonus together with ground rent ai.d license fee. and furnish satisfactory bonds by himself and two.sureties for the proper carrying out of the terms of
1895-07-25, Tuesday,  A splendid advertiemoutL JH Valley route from the great lakes sea is contained in the New tork Times of Tuesday. It is a three column article accompanied by a good outline map giv ing a clear and forcible sketch of the advantages of the Ottawa route. It is shown how the distance by an Ottawa valley canal from Chicago to Montreal would be nearly 450 miles shorter t han from Chicago to New York by the Erie Canal. From Montreal to Liverpool is 450 miles shorter than from New York to Liverpool ; so that the total saving in distance from Chicago to Liverpool by the Ottawa route would be little short of 90U
1895-07-25, one day,  A large portion of the most fashionable quarter of London belongs to the private estate of the Duke of Portland who during one day in each year puts gates and bare across the crowded streets. This annum
1895-07-25, natal day,  Halifax celebrated lie natal day last
1895-07-25, happy day,  It will be a happy day.*
1895-07-25, a day,  A Ulanford man has two cows that within a day of each other gave birth to twin calves.
1895-07-25, Sunday,  Last Sunday Rev. George Fuller waa inducted into the pastorate of the Stratford Congregational church.
